Date/Time,Word Count,aa,en,fr
2024.03.11-19.59.04,0,0,0,0
2024.03.11-20.43.49,9,0,9,0
2024.03.11-20.47.11,9,0,9,9
2024.03.12-10.02.00,9,0,9,1
2024.03.12-10.02.43,9,0,9,9
2024.03.12-11.25.42,438,0,438,9
2024.03.12-12.48.35,542,0,542,9
2024.03.12-13.27.27,542,0,542,539
2024.03.12-13.28.55,542,0,542,542
2024.03.12-15.41.14,567,0,567,542
2024.03.12-15.43.01,567,0,567,563
2024.03.12-15.43.38,567,0,567,567
2024.06.08-10.23.37,587,0,587,477
2024.06.08-10.25.05,587,0,587,487
2024.06.08-10.34.30,586,0,586,584
2024.06.08-10.46.29,595,0,595,503
2024.06.08-10.48.51,595,0,595,595
